Sepal_length	sepal_width	petal_length	petal_width	decyzja
4.6             3.2             1.4             0.2             Iris-setosa     
7.1             3               5.9             2.1             Iris-virginica  
5.5             2.5             4               1.3             Iris-versicolor 
5.8             2.7             5.1             1.9             Iris-virginica  
5.7             2.6             3.5             1               Iris-versicolor 
5.6             2.7             4.2             1.3             Iris-versicolor 
5.1             3.5             1.4             0.3             Iris-setosa     
5.8             2.6             4               1.2             Iris-versicolor 
4.5             2.3             1.3             0.3             Iris-setosa     
5.7             2.9             4.2             1.3             Iris-versicolor 
